list_name,name,label::English,label::Somali,district,country,region
uuid,NA-3803-A26-001,Xaawo Gadiid,Xaawo Gadiid,bulo_burto,somalia,hiraan
uuid,NA-3803-A30-001,C.Saleeban,C.Saleeban,bulo_burto,somalia,hiraan
uuid,NA-3803-B04-001,Qorof,Qorof,bulo_burto,somalia,hiraan
uuid,NA-3803-B06-001,Ghel Magal,Ghel Magal,bulo_burto,somalia,hiraan
uuid,NA-3803-B12-001,Ceymoy,Ceymoy,bulo_burto,somalia,hiraan
uuid,NA-3803-B12-002,Dhagaxyaale,Dhagaxyaale,bulo_burto,somalia,hiraan
uuid,NA-3803-B13-001,Labi-Weyne,Labi-Weyne,bulo_burto,somalia,hiraan
uuid,NA-3803-B13-002,Ag Bascir,Ag Bascir,bulo_burto,somalia,hiraan
uuid,NA-3803-B13-003,Dhuxul,Dhuxul,bulo_burto,somalia,hiraan
uuid,NA-3803-B23-001,Moolo Cad,Moolo Cad,bulo_burto,somalia,hiraan
uuid,NA-3803-B24-001,Cel Qoxle,Cel Qoxle,bulo_burto,somalia,hiraan
uuid,NA-3803-B24-002,X.Gaabow,X.Gaabow,bulo_burto,somalia,hiraan
uuid,NA-3803-C12-001,Buriyga,Buriyga,bulo_burto,somalia,hiraan
uuid,NA-3803-C13-001,Daharro,Daharro,bulo_burto,somalia,hiraan
uuid,NA-3803-C13-002,Dhayiib,Dhayiib,bulo_burto,somalia,hiraan
uuid,NA-3803-C13-003,Berdiga,Berdiga,bulo_burto,somalia,hiraan
uuid,NA-3803-C13-004,Berdaha,Berdaha,bulo_burto,somalia,hiraan
uuid,NA-3803-C24-001,Ceel-Yaaquub,Ceel-Yaaquub,bulo_burto,somalia,hiraan
uuid,NA-3803-D13-001,Bulo Burto,Bulo Burto,bulo_burto,somalia,hiraan
uuid,NA-3803-D13-002,Xagar,Xagar,bulo_burto,somalia,hiraan
uuid,NA-3803-D13-003,C.Xaaseey,C.Xaaseey,bulo_burto,somalia,hiraan
uuid,NA-3803-D13-004,Bananey,Bananey,bulo_burto,somalia,hiraan
uuid,NA-3803-D13-005,Qabadane,Qabadane,bulo_burto,somalia,hiraan
uuid,NA-3803-D14-001,Ceel-Timiro,Ceel-Timiro,bulo_burto,somalia,hiraan
uuid,NA-3803-D28-001,Mabaax,Mabaax,bulo_burto,somalia,hiraan
uuid,NA-3803-E05-001,El Dagno Ven,El Dagno Ven,bulo_burto,somalia,hiraan
uuid,NA-3803-E05-002,Mukalye,Mukalye,bulo_burto,somalia,hiraan
uuid,NA-3803-E09-001,Dabadey,Dabadey,bulo_burto,somalia,hiraan
uuid,NA-3803-E12-001,Masaajidley,Masaajidley,bulo_burto,somalia,hiraan
uuid,NA-3803-E12-002,Showligga,Showligga,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-001,Buulo Dacar,Buulo Dacar,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-002,Doon Dheere,Doon Dheere,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-003,Jaaboole,Jaaboole,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-004,Gal Madobe,Gal Madobe,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-005,Xaaji Xoor,Xaaji Xoor,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-006,Kuusow,Kuusow,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-007,Bulo Caro,Bulo Caro,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-008,Dabodheata,Dabodheata,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-009,Jaaboole Bari,Jaaboole Bari,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-010,Galmadobe Bari,Galmadobe Bari,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-011,Walijirdow,Walijirdow,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-012,Kabxanloow,Kabxanloow,bulo_burto,somalia,hiraan
uuid,NA-3803-E13-013,Xuseen Maleesiyo,Xuseen Maleesiyo,bulo_burto,somalia,hiraan
uuid,NA-3803-E14-001,Dabadheere,Dabadheere,bulo_burto,somalia,hiraan
uuid,NA-3803-E15-001,Saagal-Geed,Saagal-Geed,bulo_burto,somalia,hiraan
uuid,NA-3803-F01-001,Gulaalamey,Gulaalamey,bulo_burto,somalia,hiraan
uuid,NA-3803-F14-002,Baarey,Baarey,bulo_burto,somalia,hiraan
uuid,NA-3803-F14-003,Idiley,Idiley,bulo_burto,somalia,hiraan
uuid,NA-3803-F14-004,Cuamr Bulle,Cuamr Bulle,bulo_burto,somalia,hiraan
uuid,NA-3803-F14-005,Hor Wado,Hor Wado,bulo_burto,somalia,hiraan
uuid,NA-3803-F14-006,Kober,Kober,bulo_burto,somalia,hiraan
uuid,NA-3803-F14-007,Hameergab,Hameergab,bulo_burto,somalia,hiraan
uuid,NA-3803-F14-008,Burco Dhere,Burco Dhere,bulo_burto,somalia,hiraan
uuid,NA-3803-F17-001,Buur Yarey,Buur Yarey,bulo_burto,somalia,hiraan
uuid,NA-3803-F28-001,Adan Yabaal,Adan Yabaal,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-F28-002,Alud,Alud,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-F31-001,Gal-Haruur,Gal-Haruur,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-F32-001,Nawi,Nawi,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-G13-001,Caag Mareer,Caag Mareer,bulo_burto,somalia,hiraan
uuid,NA-3803-G13-002,Qurac Diyo,Qurac Diyo,bulo_burto,somalia,hiraan
uuid,NA-3803-G14-001,Soglow,Soglow,bulo_burto,somalia,hiraan
uuid,NA-3803-G14-002,Quraclay,Quraclay,bulo_burto,somalia,hiraan
uuid,NA-3803-G14-003,Sheybow,Sheybow,bulo_burto,somalia,hiraan
uuid,NA-3803-G15-001,Jameeco Shiin,Jameeco Shiin,bulo_burto,somalia,hiraan
uuid,NA-3803-G15-002,Sorogley,Sorogley,bulo_burto,somalia,hiraan
uuid,NA-3803-H08-001,Ceel-Ware,Ceel-Ware,bulo_burto,somalia,hiraan
uuid,NA-3803-H12-001,Qoracdheer,Qoracdheer,bulo_burto,somalia,hiraan
uuid,NA-3803-H12-002,Biyoneef,Biyoneef,bulo_burto,somalia,hiraan
uuid,NA-3803-H14-001,Kulanka Xaji Cabdi,Kulanka Xaji Cabdi,bulo_burto,somalia,hiraan
uuid,NA-3803-H15-001,Jameeco Mubaarak,Jameeco Mubaarak,bulo_burto,somalia,hiraan
uuid,NA-3803-H15-002,Shiin,Shiin,bulo_burto,somalia,hiraan
uuid,NA-3803-H15-003,Ceel-Bacad,Ceel-Bacad,bulo_burto,somalia,hiraan
uuid,NA-3803-H15-004,Jamco Mubarak Bari,Jamco Mubarak Bari,bulo_burto,somalia,hiraan
uuid,NA-3803-H15-005,Ooda-Dheer,Ooda-Dheer,bulo_burto,somalia,hiraan
uuid,NA-3803-H16-001,Mukhtaar,Mukhtaar,bulo_burto,somalia,hiraan
uuid,NA-3803-H26-001,Garsaale-Gaab,Garsaale-Gaab,bulo_burto,somalia,hiraan
uuid,NA-3803-H28-001,Xaaji-Xaamud,Xaaji-Xaamud,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-H29-001,Shuute,Shuute,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-H31-001,Al-Kowsar,Al-Kowsar,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-J12-001,Gawaanka,Gawaanka,bulo_burto,somalia,hiraan
uuid,NA-3803-J13-001,Qajawlaha,Qajawlaha,bulo_burto,somalia,hiraan
uuid,NA-3803-J14-001,Goonyaale,Goonyaale,bulo_burto,somalia,hiraan
uuid,NA-3803-J14-002,Gabxanlow,Gabxanlow,bulo_burto,somalia,hiraan
uuid,NA-3803-J15-001,Hesin,Hesin,bulo_burto,somalia,hiraan
uuid,NA-3803-J15-002,Qabadano,Qabadano,bulo_burto,somalia,hiraan
uuid,NA-3803-J15-003,Xamiir Gaab,Xamiir Gaab,bulo_burto,somalia,hiraan
uuid,NA-3803-J15-004,Qabadane,Qabadane,bulo_burto,somalia,hiraan
uuid,NA-3803-J15-005,Libiloow,Libiloow,bulo_burto,somalia,hiraan
uuid,NA-3803-J27-001,Ceel Dhegenle,Ceel Dhegenle,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-J27-002,Dhabaq-Labey,Dhabaq-Labey,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-J28-001,Mirta Cali Armed,Mirta Cali Armed,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-J28-002,Ceel-Muluq,Ceel-Muluq,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-J28-003,Dhogonle,Dhogonle,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-J28-004,Ina Yare,Ina Yare,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-K13-001,Buur Weyn,Buur Weyn,bulo_burto,somalia,hiraan
uuid,NA-3803-K15-001,Afcad,Afcad,bulo_burto,somalia,hiraan
uuid,NA-3803-K15-002,Soogodo,Soogodo,bulo_burto,somalia,hiraan
uuid,NA-3803-K26-001,Miiro,Miiro,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-K27-001,Xirkadheerde,Xirkadheerde,adan_yabaal,somalia,middle_shabelle
uuid,NA-3803-L02-001,Raso,Raso,bulo_burto,somalia,hiraan
uuid,NA-3803-L05-001,Magagan,Magagan,bulo_burto,somalia,hiraan
